Feature 1,Feature 2,Correlation
spec_centroid_mean,spec_rolloff_mean,0.9560119929296669
mfcc11_std,mfcc12_std,0.9005532812414628
mfcc14_std,mfcc15_std,0.8946548499069077
mfcc13_std,mfcc14_std,0.8874382622861148
spec_centroid_mean,mfcc2_mean,-0.8867781496528848
mfcc12_std,mfcc13_std,0.886200247832383
mfcc9_std,mfcc10_std,0.8860951849236107
mfcc16_std,mfcc17_std,0.8857937845637148
mfcc18_std,mfcc19_std,0.8696239167243682
mfcc15_std,mfcc16_std,0.8669105938010505
mfcc10_std,mfcc11_std,0.866631210320127
mfcc19_std,mfcc20_std,0.8654382424296375
mfcc17_std,mfcc18_std,0.8607107714388189
mfcc8_std,mfcc9_std,0.860398375069783
mfcc10_std,mfcc12_std,0.8582475555809356
mfcc11_std,mfcc13_std,0.8428497119824927
spec_rolloff_mean,mfcc2_mean,-0.8316508024575598
mfcc9_std,mfcc11_std,0.8307558591276798
spec_centroid_mean,zcr_mean,0.8292120457059523
mfcc7_std,mfcc8_std,0.8275044355505954
mfcc13_std,mfcc15_std,0.8235734976827416
mfcc12_std,mfcc14_std,0.8222943216434822
mfcc8_std,mfcc10_std,0.8206427656273338
mfcc9_std,mfcc12_std,0.817680735024445
mfcc15_std,mfcc17_std,0.8146807947370164
mfcc10_std,mfcc13_std,0.8085334402822613
mfcc11_std,mfcc14_std,0.8023622869745208
